Close,Qty,EPS
660.0,3547.0,17.94
651.0,5758.0,17.94
646.0,6085.0,17.94
648.0,6977.0,17.94
648.0,3303.0,17.94
635.0,6063.0,17.94
627.0,6771.0,17.94
615.0,10593.0,17.94
609.0,19957.0,17.94
610.0,6749.0,17.94
614.0,2568.0,17.94
612.0,9272.0,17.94
596.0,6455.0,17.94
582.0,10255.0,17.94
591.0,19889.0,17.94
587.0,6912.0,17.94
586.0,12668.0,17.94
570.0,15963.0,17.94
570.0,8105.0,17.94
547.0,21731.0,17.94
530.0,39521.0,17.94
545.0,18853.0,17.94
540.0,18744.0,17.94
533.0,22374.0,17.94
535.0,15416.0,17.94
508.0,20997.0,17.94
534.0,21646.0,17.94
562.0,21579.0,17.94
573.0,21959.0,17.94
569.0,24219.0,17.94
555.0,14632.0,17.94
533.0,15295.0,17.94
539.0,14565.0,17.94
539.0,7217.0,17.94
536.0,8066.0,17.94
529.0,10906.0,17.94
530.0,3967.0,17.94
534.0,9427.0,17.94
537.0,5999.0,17.94
535.0,6606.0,17.94
525.0,6368.0,17.94
520.0,5450.0,17.94
510.0,8363.0,17.94
514.0,3320.0,17.94
497.0,9448.0,17.94
482.0,13779.0,17.94
486.0,11911.0,17.94
502.0,15310.0,17.94
510.0,7855.0,17.94
522.0,9528.0,17.94
508.0,11020.0,17.94
508.0,7959.0,17.94
503.0,11264.0,17.94
497.0,14975.0,17.94
503.0,12959.0,17.94
501.0,7145.0,17.94
500.0,8569.0,17.94
505.0,11634.0,17.94
503.0,2861.0,24.79
497.0,7255.0,24.79
500.0,8214.0,24.79
499.0,12104.0,24.79
496.0,5109.0,24.79
494.0,8247.0,24.79
488.0,9530.0,24.79
480.0,12559.0,24.79
465.0,13693.0,24.79
456.0,20406.0,24.79
445.0,21770.0,24.79
455.0,10784.0,24.79
477.0,11343.0,24.79
475.0,15489.0,24.79
466.0,5095.0,24.79
460.0,5397.0,24.79
458.0,11518.0,24.79
438.0,23079.0,24.79
426.0,21780.0,24.79
414.0,16125.0,24.79
423.0,31399.0,24.79
407.0,11603.0,24.79
429.0,12093.0,24.79
446.0,25025.0,24.79
444.0,30607.0,24.79
440.0,16082.0,24.79
435.0,18519.0,24.79
425.0,8577.0,24.79
422.0,11868.0,24.79
420.0,3185.0,24.79
417.0,3580.0,24.79
419.0,5816.0,24.79
423.0,7026.0,24.79
431.0,6998.0,24.79
431.0,10286.0,24.79
425.0,3819.0,24.79
