S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
250,2024-01-23,867.0,874.0,860.0,868.9,0.22,16920.0,14698672.3
249,2024-01-24,875.9,900.0,869.0,870.0,0.13,19150.0,16772332.6
248,2024-01-25,870.0,876.0,860.1,867.9,-0.24,23071.0,20013153.3
247,2024-01-28,882.0,882.0,864.6,875.0,0.82,24999.0,21740095.0
246,2024-01-29,875.0,910.0,873.9,878.0,0.34,22068.0,19437362.3
245,2024-01-30,895.0,912.9,880.0,883.7,0.65,35024.0,31062828.8
244,2024-01-31,900.0,919.3,866.0,878.0,-0.65,22328.0,19637534.7
243,2024-02-01,877.8,889.0,865.0,869.0,-1.03,10944.0,9533120.5
242,2024-02-04,869.5,871.0,851.7,865.0,-0.46,16378.0,14167838.0
241,2024-02-05,870.0,951.5,865.1,951.5,10.0,30479.0,26914054.6
240,2024-02-06,932.5,932.5,880.0,903.0,-5.1,81720.0,73593735.2
239,2024-02-07,903.0,903.0,888.0,890.0,-1.44,27937.0,24913323.0
238,2024-02-08,907.0,907.0,877.0,887.0,-0.34,18842.0,16694219.7
237,2024-02-11,898.9,898.9,880.0,881.0,-0.68,19935.0,17690775.2
236,2024-02-12,878.0,890.0,864.0,880.0,-0.11,16664.0,14647655.2
235,2024-02-13,880.0,880.0,865.0,865.0,-1.7,51665.0,44982847.4
234,2024-02-14,868.0,941.6,860.0,877.0,1.39,24753.0,21671085.5
233,2024-02-15,885.0,885.0,860.0,867.0,-1.14,22439.0,19443517.2
232,2024-02-18,860.0,870.0,853.0,860.0,-0.81,26000.0,22388381.7
231,2024-02-20,860.0,874.0,855.0,859.0,-0.12,17433.0,15016892.4
230,2024-02-21,869.0,869.0,848.0,855.0,-0.47,17903.0,15296541.5
229,2024-02-22,872.1,872.1,846.0,847.0,-0.94,27725.0,23654372.9
228,2024-02-25,847.0,850.0,834.1,834.1,-1.52,28333.0,23811530.1
227,2024-02-26,835.0,849.0,834.0,845.0,1.31,15091.0,12650909.6
226,2024-02-27,854.9,854.9,838.0,843.9,-0.13,8580.0,7221422.4
225,2024-02-28,844.0,850.0,837.0,843.0,-0.11,15047.0,12682471.2
224,2024-02-29,850.0,850.0,835.0,836.0,-0.83,19878.0,16680386.4
223,2024-03-03,840.0,846.0,825.2,831.0,-0.6,23122.0,19219307.6
222,2024-03-04,847.6,881.2,847.6,880.0,5.9,1405.0,1231228.0
221,2024-03-05,880.0,880.0,840.0,840.0,-4.55,29705.0,25327249.8
220,2024-03-06,856.8,856.8,837.1,845.0,0.6,14915.0,12584435.8
219,2024-03-07,859.0,865.0,845.0,855.0,1.18,13007.0,11128791.6
218,2024-03-10,869.9,872.0,856.0,859.9,0.57,10552.0,9067195.5
